customer_id,location_number,location_type,latitude,longitude
02SFNJH,0,NA,1.682391538,-78.78973718
02SFNJH,1,NA,1.679136545,0.766823305
02SFNJH,2,NA,-0.498648397,0.661241437
RU43CXC,0,Home,0.100853252,0.438165466
BDFBPRD,0,NA,2.523125244,0.733463724
WMGKW6W,0,NA,12.66341322,-1.4299192
NDYLK9A,0,NA,-0.203279808,-78.56688511
NDYLK9A,1,NA,-0.204371143,0.435592749
PB2B28D,0,Home,2.575605197,0.708270181
U9YKW1T,0,Work,0.100016988,0.004357422
GC6WIE3,0,NA,0.875032932,0.536540053
K9BE00O,0,NA,-0.820482585,-0.121503081
AY5F3Q6,0,NA,-0.232849716,0.831206621
4YWW8U8,0,NA,-0.209611538,0.272535682
4YWW8U8,1,Home,-0.575555577,0.236554849
393VD80,0,Home,-0.245395962,-78.56190775
393VD80,1,NA,-0.248585,0.825571659
393VD80,2,Home,1.776409176,0.724998696
CYDS6WV,0,NA,0.294907782,0.37340993
HTIXECY,0,Work,0.271755962,-78.6230257
HTIXECY,1,NA,0.728857218,0.521622472
J5B49B8,0,Other,-0.502072921,0.109237335
JD179G0,0,Work,-1.256059201,-0.090399634
UX1LKED,0,NA,-1.74433207,-0.349825634
MRF3NLR,0,Home,0.075371154,0.000568182
FQ6BD1J,0,NA,-0.943149615,-78.47944595
FQ6BD1J,1,NA,0.043506969,-0.008501392
8S4TR8P,0,Other,-0.306910385,-78.55463786
8S4TR8P,1,NA,-0.303029562,0.688594499
8S4TR8P,2,Other,-0.257249215,0.535163542
8S4TR8P,3,Other,-0.406649334,0.633192282
WEW8WR3,0,Other,-0.936748077,-78.4802025
WEW8WR3,1,Home,-0.896720908,0.146054616
QPS70WF,0,NA,-0.196789231,-78.56765218
QPS70WF,1,NA,-0.19681497,0.535835211
O66VIR7,0,NA,13.61905965,-1.427624845
MBO1JU9,0,Other,0.650417308,-78.66777659
NUP6MJE,0,Other,-0.838752692,-78.49178377
YUET89W,0,Home,-1.0944401,0.101250296
R8SXYD0,0,Other,0.127834615,0.543504773
2KH6OSP,0,Work,-0.031379615,-78.58720059
2KH6OSP,1,NA,-1.866021154,-0.003983182
2KH6OSP,2,NA,-0.032447866,0.619995093
XGE7RDS,0,NA,-0.0595175,-78.5838752
XGE7RDS,1,NA,-0.058052192,-0.008462809
XGE7RDS,2,NA,-0.03539711,0.020762423
MWCJAZ1,0,Home,-0.093648369,-0.00767806
P9PGO2N,0,Home,0.046054615,-78.59635191
P9PGO2N,1,NA,-0.124056154,-78.57624791
P9PGO2N,2,NA,-0.862094231,-78.48902523
P9PGO2N,3,Other,-0.121095878,-0.00573384
3H2T1BZ,0,Work,-0.605526731,-78.51934684
3H2T1BZ,1,Home,-0.431423329,0.778693886
3H2T1BZ,2,Work,-0.603637899,0.737299051
C09U37P,0,Home,-1.434879615,-78.42133241
C09U37P,1,NA,-1.437835261,-0.029248724
KQ83228,0,Home,-1.179871538,-78.45146973
AFO9DXF,0,NA,0.160283654,-78.6098517
AFO9DXF,1,Home,0.157641878,0.518782232
UVI4WJ1,0,Home,0.030414038,-78.59450348
UVI4WJ1,1,NA,-0.526771154,-78.52865432
UVI4WJ1,2,Home,0.030472458,0.000230797
IINNUEK,0,NA,-0.586738808,0.140815355
T4K1PCQ,0,Home,-0.657080769,-78.51325409
T4K1PCQ,1,NA,-0.656528845,0.8676475
9NUOTF0,0,NA,-1.926903422,0.003930288
9NUOTF0,1,Home,-1.228461538,-0.116497273
9NUOTF0,2,NA,0.000871154,0.487387273
82U1W6V,0,NA,-1.154220192,-78.45450125
7SI55PG,0,NA,-0.126855769,0.602840295
